name,club,age,position,position_cat,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing,market_value
Kevin Wimmer,Tottenham,24,CB,3,355,4.5,0.30%,2,2.0,Austria,0,2,17,1,0,7.0
Fernando Llorente,Swansea,32,CF,1,1423,7.5,0.70%,146,2.0,Spain,0,5,16,0,1,6.0
Patrick van Aanholt,Crystal+Palace,26,LB,3,524,5.5,4.20%,98,2.0,Netherlands,0,3,6,0,0,9.0
Wayne Rooney,Everton,31,SS,1,7664,7.5,20.90%,76,1.0,England,0,4,7,0,0,15.0
Joe Gomez,Liverpool,20,CB,3,460,4.5,0.40%,0,1.0,England,0,1,10,1,0,4.0
Callum Wilson,Bournemouth,25,CF,1,337,6.0,0.20%,63,1.0,England,0,3,2,0,0,10.0
Joel Coleman,Huddersfield,21,GK,4,36,4.0,2.40%,0,1.0,England,0,1,8,0,0,0.25
Joel Matip,Liverpool,25,CB,3,1313,5.5,2.30%,97,2.0,Cameroon,0,3,10,1,1,25.0
Craig Cathcart,Watford,28,CB,3,128,4.5,0.00%,31,2.0,Northern Ireland,0,4,18,0,0,4.0
Mohamed Elneny,Arsenal,25,DM,2,683,4.5,0.80%,26,4.0,Egypt,0,3,1,1,0,10.0
Willy Caballero,Chelsea,35,GK,4,542,5.0,0.20%,64,3.0,Argentina,0,6,5,1,0,1.5
Rolando Aarons,Newcastle+United,21,LW,1,170,4.5,0.10%,0,1.0,England,0,1,13,0,0,0.75
Joshua King,Bournemouth,25,SS,1,997,7.5,10.40%,178,2.0,Norway,0,3,2,0,0,8.0
Ramiro Funes Mori,Everton,26,CB,3,460,5.0,0.10%,69,3.0,Argentina,0,3,7,0,0,12.0
Ashley Barnes,Burnley,27,CF,1,287,5.5,1.20%,81,1.0,England,0,3,4,0,0,2.5
Liam Rosenior,Brighton+and+Hove,33,RB,3,132,4.0,3.20%,0,1.0,England,0,5,3,0,0,1.0
Gary Cahill,Chelsea,31,CB,3,1420,6.5,12.00%,178,1.0,England,0,4,5,1,0,16.0
Christian Atsu,Newcastle+United,25,RW,1,641,5.0,2.10%,0,4.0,Ghana,0,3,13,0,0,5.0
Jack Colback,Newcastle+United,27,DM,2,181,4.5,1.10%,0,1.0,England,0,3,13,0,0,5.0
Marc Muniesa,Stoke+City,25,CB,3,172,4.5,0.20%,34,2.0,Spain,0,3,15,0,0,3.0
Daryl Murphy,Newcastle+United,34,CF,1,541,4.5,2.80%,0,2.0,Ireland,0,6,13,0,0,1.5
Kevin Long,Burnley,26,CB,3,68,4.0,1.70%,3,2.0,Ireland,0,3,4,0,0,0.5
DuÅ¡an TadiÄ‡,Southampton,28,LW,1,458,6.5,4.90%,108,2.0,Portugal,0,4,14,0,0,17.0
Lascelles,Newcastle+United,27,CB,3,400,4.5,3.60%,0,1.0,England,0,3,13,0,0,5.0
Manolo Gabbiadini,Southampton,25,CF,1,2012,7.0,5.20%,38,2.0,Italy,0,3,14,0,0,15.0
Fabian Delph,Manchester+City,27,CM,2,520,4.5,0.40%,13,1.0,England,0,3,11,1,0,8.0
David Luiz,Chelsea,30,CB,3,2745,6.0,20.30%,132,3.0,Brazil,0,4,5,1,0,30.0
Jonjo Shelvey,Newcastle+United,25,CM,2,747,5.5,2.50%,0,1.0,England,0,3,13,0,0,11.0
Julian Speroni,Crystal+Palace,38,GK,4,188,4.0,2.00%,0,3.0,Argentina,0,6,6,0,0,0.25
Nordin Amrabat,Watford,30,LW,1,295,5.0,0.10%,65,4.0,Morocco,0,4,18,0,0,4.5
Jesus Gamez,Newcastle+United,32,RB,3,186,4.0,2.30%,0,2.0,Spain,0,5,13,0,0,2.5
Daryl Janmaat,Watford,27,RB,3,242,5.0,0.30%,50,2.0,Netherlands,0,3,18,0,1,7.0
Nacer Chadli,West+Brom,27,LW,1,570,6.0,2.40%,110,2.0,Belgium,0,3,19,0,1,15.0
Mike van der Hoorn,Swansea,24,CB,3,154,4.5,0.10%,16,2.0,Netherlands,0,2,16,0,1,2.0
Abdoulaye Doucoure,Watford,24,CM,2,124,5.0,0.00%,38,2.0,France,0,2,18,0,0,6.0
Eric Bailly,Manchester+United,23,CB,3,1588,6.0,10.20%,105,4.0,Cote d'Ivoire,0,2,12,1,1,30.0
Adam Lallana,Liverpool,29,AM,1,1808,7.5,6.40%,139,1.0,England,0,4,10,1,0,25.0
Valon Behrami,Watford,32,DM,2,237,4.5,0.40%,48,2.0,Switzerland,0,5,18,0,0,2.5
Shane Long,Southampton,30,CF,1,703,6.0,0.30%,57,2.0,Ireland,0,4,14,0,0,9.0
Michael Keane,Everton,24,CB,3,1362,5.5,13.10%,113,1.0,England,0,2,7,0,0,18.0
Kurt Zouma,Chelsea,22,CB,3,723,5.5,0.80%,15,2.0,France,0,2,5,1,0,15.0
Raheem Sterling,Manchester+City,22,LW,1,2074,8.0,3.80%,149,1.0,England,0,2,11,1,0,45.0
Heurelho Gomes,Watford,36,GK,4,439,4.5,2.20%,113,3.0,Brazil,0,6,18,0,0,1.0
Xherdan Shaqiri,Stoke+City,25,RW,1,1000,6.0,3.20%,80,2.0,Switzerland,0,3,15,0,0,15.0
Moussa Sissokho,Tottenham,27,CM,2,1162,5.5,0.30%,43,2.0,France,0,3,17,1,1,20.0
Tammy Abraham,Swansea,19,CF,1,1227,5.5,3.30%,0,1.0,England,0,1,16,0,0,8.0
Juan Mata,Manchester+United,29,AM,1,2280,7.0,3.50%,102,2.0,Spain,0,4,12,1,0,30.0
Jose Fonte,West+Ham,33,CB,3,867,5.0,2.10%,98,2.0,Portugal,0,5,20,0,1,7.0
Leroy Fer,Swansea,27,CM,2,411,5.5,0.60%,95,2.0,Netherlands,0,3,16,0,1,8.0
Jordon Ibe,Bournemouth,21,RW,1,504,5.0,0.40%,36,1.0,England,0,1,2,0,0,8.0
Dele Alli,Tottenham,21,CM,2,4626,9.5,38.60%,225,1.0,England,0,1,17,1,0,45.0
Claudio Yacob,West+Brom,30,DM,2,165,4.5,0.40%,54,3.0,Argentina,0,4,19,0,0,4.0
Jordan Ayew,Swansea,25,CF,1,676,5.0,2.00%,39,4.0,Ghana,0,3,16,0,0,7.5
Joel Castro Pereira,Manchester+United,21,GK,4,395,4.0,1.00%,6,2.0,Portugal,0,1,12,1,0,0.1
Simon Mignolet,Liverpool,29,GK,4,721,5.0,1.60%,110,2.0,Belgium,0,4,10,1,0,12.0
Jonathan Leko,West+Brom,18,RW,1,169,4.5,0.20%,12,1.0,England,0,1,19,0,0,1.5
Matt Phillips,West+Brom,26,RW,1,454,6.0,5.60%,115,2.0,Scotland,0,3,19,0,1,9.0
Romelu Lukaku,Manchester+United,24,CF,1,3727,11.5,45.00%,221,2.0,Belgium,0,2,12,1,0,50.0
Jordy Clasie,Southampton,26,DM,2,201,4.5,0.40%,38,2.0,Netherlands,0,3,14,0,0,10.0
Wilfried Zaha,Crystal+Palace,24,RW,1,1709,7.0,20.90%,149,4.0,Cote d'Ivoire,0,2,6,0,0,18.0
Andy King,Leicester+City,28,CM,2,327,4.5,0.70%,41,2.0,Wales,0,4,9,0,0,3.0
Nathaniel Chalobah,Watford,22,DM,2,977,4.5,2.30%,12,1.0,England,0,2,18,0,0,5.0
Trent Alexander-Arnold,Liverpool,18,RB,3,327,4.5,0.30%,15,2.0,England,0,1,10,1,0,1.5
Daniel Sturridge,Liverpool,27,CF,1,2042,8.0,4.30%,54,1.0,England,0,3,10,1,0,20.0
Bojan KrkiÄ‡,Stoke+City,26,SS,1,1325,5.5,0.20%,30,2.0,Spain,0,3,15,0,0,5.0
Nathan Ake,Bournemouth,22,CB,3,1274,5.0,11.50%,55,2.0,Netherlands,0,2,2,0,0,8.0
Aaron Cresswell,West+Ham,27,LB,3,380,5.0,1.30%,60,1.0,England,0,3,20,0,0,12.0
Mamadou Sakho,Liverpool,27,CB,3,934,5.0,0.10%,35,2.0,France,0,3,10,1,0,15.0
Bernardo Silva,Manchester+City,22,RW,1,1098,8.0,4.60%,0,2.0,Portugal,1,2,11,1,0,40.0
Michel Vorm,Tottenham,33,GK,4,252,5.0,0.10%,17,2.0,Netherlands,0,5,17,1,0,4.0
Demarai Gray,Leicester+City,21,LW,1,593,5.5,1.10%,58,1.0,England,0,1,9,0,0,9.0
Rajiv van La Parra,Huddersfield,26,LW,1,174,5.0,0.30%,0,2.0,Netherlands,0,3,8,0,0,2.0
Robert Snodgrass,West+Ham,29,RW,1,1210,6.0,6.50%,133,2.0,Scotland,0,4,20,0,0,8.0
Jon Gorenc Stankovic,Huddersfield,21,CB,3,83,4.0,1.10%,0,2.0,Slovenia,0,1,8,0,0,0.5
Sofiane Boufal,Southampton,23,AM,1,590,6.0,0.30%,40,4.0,Morocco,0,2,14,0,1,15.0
Joel Robles,Everton,27,GK,4,304,4.5,0.40%,89,2.0,Spain,0,3,7,0,0,5.0
Peter Crouch,Stoke+City,36,CF,1,2656,5.0,2.90%,79,1.0,England,0,6,15,0,0,1.5
Steve Cook,Bournemouth,26,CB,3,184,5.0,2.00%,112,1.0,England,0,3,2,0,0,5.0
Steven Berghuis,Watford,25,RW,1,164,5.0,0.10%,0,2.0,Netherlands,0,3,18,0,0,5.5
Ben Hamer,Leicester+City,29,GK,4,132,4.5,0.10%,0,1.0,England,0,4,9,0,0,0.5
Jeffrey Schlupp,Crystal+Palace,24,LB,3,385,5.0,0.30%,47,4.0,Ghana,0,2,6,0,0,8.0
Sergio Romero,Manchester+United,30,GK,4,849,5.0,0.20%,23,3.0,Argentina,0,4,12,1,0,6.0
Mousa Dembele,Tottenham,30,CM,2,1161,5.0,1.80%,76,2.0,Belgium,0,4,17,1,0,18.0
Bakary Sako,Crystal+Palace,29,LW,1,226,5.0,0.10%,7,4.0,Mali,0,4,6,0,0,6.0
Andy Carroll,West+Ham,28,CF,1,1212,6.0,0.40%,69,1.0,England,0,4,20,0,0,10.0
Robbie Brady,Burnley,25,LM,2,614,5.5,0.40%,39,2.0,Ireland,0,3,4,0,0,10.0
Mark Noble,West+Ham,30,CM,2,425,5.5,0.10%,71,1.0,England,0,4,20,0,0,7.0
David de Gea,Manchester+United,26,GK,4,2126,5.5,26.10%,136,2.0,Spain,0,3,12,1,0,40.0
Alexis Sanchez,Arsenal,28,LW,1,4329,12.0,17.10%,264,3.0,Chile,0,4,1,1,0,65.0
Brad Smith,Bournemouth,23,LB,3,297,4.0,3.30%,4,4.0,Australia,0,2,2,0,0,2.0
Sadio Mane,Liverpool,25,LW,1,3219,9.5,5.30%,156,4.0,Senegal,0,3,10,1,1,40.0
Grant Hanley,Newcastle+United,25,CB,3,265,4.0,2.50%,0,2.0,Scotland,0,3,13,0,0,4.5
Marc Albrighton,Leicester+City,27,LM,2,347,5.5,1.10%,95,1.0,England,0,3,9,0,0,6.0
Marcus Rashford,Manchester+United,19,CF,1,3668,7.5,4.80%,76,1.0,England,0,1,12,1,0,18.0
Alberto Moreno,Liverpool,25,LB,3,397,4.5,0.30%,8,2.0,Spain,0,3,10,1,0,10.0
Christian Eriksen,Tottenham,25,AM,1,1130,9.5,12.00%,218,2.0,Denmark,0,3,17,1,0,40.0
Winston Reid,West+Ham,29,CB,3,338,5.0,0.40%,102,4.0,New Zealand,0,4,20,0,0,10.0
Kenedy,Chelsea,21,LB,3,566,5.0,0.10%,3,3.0,Brazil,0,1,5,1,0,7.0
Cesar Azpilicueta,Chelsea,27,RB,3,869,6.5,12.30%,170,2.0,Spain,0,3,5,1,0,30.0
Jamie Murphy,Brighton+and+Hove,27,LW,1,114,5.0,0.10%,0,2.0,Scotland,0,3,3,0,0,1.75
Yohan Cabaye,Crystal+Palace,31,CM,2,456,5.5,1.40%,91,2.0,France,0,4,6,0,0,15.0
Solly March,Brighton+and+Hove,23,RM,2,139,5.0,0.20%,0,1.0,England,0,2,3,0,0,0.5
Mathias Jorgensen,Huddersfield,27,CB,3,107,4.5,0.20%,0,2.0,Denmark,0,3,8,0,0,2.5
Kristoffer Nordfeldt,Swansea,28,GK,4,82,4.0,1.70%,3,2.0,Sweden,0,4,16,0,0,1.5
Michael Carrick,Manchester+United,35,DM,2,1789,4.5,1.80%,42,1.0,England,0,6,12,1,0,1.5
Harry Maguire,Leicester+City,24,CB,3,488,5.0,1.50%,71,1.0,England,0,2,9,0,0,8.0
Harry Winks,Tottenham,21,CM,2,806,5.0,0.00%,30,1.0,England,0,1,17,1,0,4.0
Charlie Adam,Stoke+City,31,CM,2,561,5.0,0.10%,59,2.0,Scotland,0,4,15,0,0,3.5
Gareth McAuley,West+Brom,37,CB,3,458,5.0,11.80%,131,2.0,Northern Ireland,0,6,19,0,0,1.0
Lee Chung-yong,Crystal+Palace,29,RW,1,327,4.5,0.10%,24,4.0,South Korea,0,4,6,0,0,1.5
Diafra Sakho,West+Ham,27,CF,1,214,5.5,0.10%,12,4.0,Senegal,0,3,20,0,0,10.0
Lewis Cook,Bournemouth,20,CM,2,243,4.5,0.80%,17,1.0,England,0,1,2,0,0,6.0
Junior Stanislas,Bournemouth,27,LW,1,315,6.0,0.60%,107,1.0,England,0,3,2,0,0,4.5
Steven Davis,Southampton,32,CM,2,310,5.0,0.20%,77,2.0,Northern Ireland,0,5,14,0,0,6.0
Alex Oxlade-Chamberlain,Arsenal,23,RM,2,1519,6.0,1.80%,83,1.0,England,0,2,1,1,0,22.0
Glen Johnson,Stoke+City,32,RB,3,512,4.5,0.80%,56,1.0,England,0,5,15,0,0,5.0
James Tarkowski,Burnley,24,CB,3,116,4.5,0.10%,23,1.0,England,0,2,4,0,0,2.0
Miguel Britos,Watford,32,CB,3,131,4.5,0.60%,71,3.0,Uruguay,0,5,18,0,0,3.5
Damien Delaney,Crystal+Palace,36,CB,3,195,4.5,0.60%,51,2.0,Ireland,0,6,6,0,0,1.0
Jack Payne,Huddersfield,25,CM,2,81,4.5,0.10%,0,1.0,England,0,3,8,0,0,0.25
John Stones,Manchester+City,23,CB,3,1078,5.5,2.30%,59,1.0,England,0,2,11,1,1,35.0
Luke Shaw,Manchester+United,22,LB,3,947,5.0,0.40%,45,1.0,England,0,2,12,1,0,20.0
Paul Pogba,Manchester+United,24,CM,2,7435,8.0,19.50%,115,2.0,France,0,2,12,1,1,75.0
Ashley Young,Manchester+United,32,LM,2,936,5.0,0.00%,26,1.0,England,0,5,12,1,0,5.0
Emre Can,Liverpool,23,DM,2,1253,5.0,6.60%,104,2.0,Germany,0,2,10,1,0,15.0
Jay Fulton,Swansea,23,CM,2,104,4.5,0.10%,19,2.0,Scotland,0,2,16,0,0,0.5
Kabasele,Watford,26,CB,3,177,4.5,0.20%,35,2.0,Belgium,0,3,18,0,1,5.5
James Collins,West+Ham,33,CB,3,187,4.5,0.90%,69,2.0,Wales,0,5,20,0,0,2.0
Nathaniel Clyne,Liverpool,26,RB,3,602,5.5,4.50%,129,1.0,England,0,3,10,1,0,21.0
Matteo Darmian,Manchester+United,27,RB,3,1640,5.5,0.30%,70,2.0,Italy,0,3,12,1,0,12.0
James Tomkins,Crystal+Palace,28,CB,3,208,4.5,2.00%,75,1.0,England,0,4,6,0,1,7.0
James Milner,Liverpool,31,CM,2,1824,6.5,10.40%,139,1.0,England,0,4,10,1,0,12.0
Lys Mousset,Bournemouth,21,CF,1,131,5.0,0.10%,14,2.0,France,0,1,2,0,0,4.0
Wayne Routledge,Swansea,32,LW,1,264,5.5,0.10%,74,1.0,England,0,5,16,0,0,2.5
Dale Stephens,Brighton+and+Hove,27,CM,2,122,4.5,0.90%,0,1.0,England,0,3,3,0,0,5.0
Gaetan Bong,Brighton+and+Hove,29,LB,3,97,4.5,0.20%,0,4.0,Cameroon,0,4,3,0,0,1.5
Matthew Pennington,Everton,22,CB,3,219,4.0,1.70%,9,1.0,England,0,2,7,0,0,0.5
James McArthur,Crystal+Palace,29,CM,2,216,4.5,10.90%,93,2.0,Scotland,0,4,6,0,0,7.0
David Ospina,Arsenal,28,GK,4,544,5.0,0.20%,2,3.0,Colombia,0,4,1,1,0,7.0
Ashley Westwood,Burnley,27,DM,2,161,4.5,0.10%,13,1.0,England,0,3,4,0,0,4.0
Sergio Aguero,Manchester+City,29,CF,1,4046,11.5,9.70%,175,3.0,Argentina,0,4,11,1,0,65.0
Tiemoue Bakayoko,Chelsea,22,DM,2,1011,5.0,1.60%,0,2.0,France,1,2,5,1,0,16.0
Leonardo Ulloa,Leicester+City,30,CF,1,472,5.0,0.20%,24,2.0,Argentina,0,4,9,0,0,6.0
Marouane Fellaini,Manchester+United,29,CM,2,1498,5.0,0.20%,48,2.0,Belgium,0,4,12,1,0,12.0
Dominic Calvert-Lewin,Everton,20,SS,1,343,5.0,0.30%,17,1.0,England,0,1,7,0,1,3.5
Maarten Stekelenburg,Everton,34,GK,4,623,4.5,0.30%,68,2.0,Netherlands,0,6,7,0,1,2.0
Davy Klaassen,Everton,24,AM,1,428,7.5,3.60%,0,2.0,Netherlands,1,2,7,0,0,18.0
Lee Grant,Stoke+City,34,GK,4,480,4.5,1.20%,106,1.0,England,0,6,15,0,1,1.0
Will Hughes,Watford,22,CM,2,258,5.0,0.60%,0,1.0,England,1,2,18,0,0,8.0
Isaac Success,Watford,21,LW,1,474,5.5,0.10%,28,4.0,Nigeria,0,1,18,0,1,4.0
Ahmed Hegazy,West+Brom,26,CB,3,82,4.5,1.30%,0,4.0,Egypt,1,3,19,0,0,1.0
Ragnar Klavan,Liverpool,31,CB,3,875,4.5,0.40%,43,2.0,Estonia,0,4,10,1,1,3.5
Angelo Ogbonna,West+Ham,29,CB,3,247,4.5,1.10%,45,2.0,Italy,0,4,20,0,0,9.0
Jack Cork,Burnley,28,DM,2,204,4.5,0.50%,50,1.0,England,0,4,4,0,0,5.0
Nathan Redmond,Southampton,23,RW,1,706,6.5,11.30%,126,1.0,England,0,2,14,0,1,15.0
N%27Golo Kante,Chelsea,26,DM,2,4042,5.0,13.80%,83,2.0,France,0,3,5,1,1,50.0
Florian Lejeune,Newcastle+United,26,CB,3,65,4.5,1.00%,0,2.0,France,0,3,13,0,0,5.0
Paul Dummett,Newcastle+United,25,LB,3,177,4.5,1.00%,0,2.0,Wales,0,3,13,0,0,3.5
Roberto Pereyra,Watford,26,AM,1,398,6.0,0.10%,43,3.0,Argentina,0,3,18,0,1,15.0
